icpsr,congress,committees_sw,positions,bioguide,committees_unitedstates,titles
29924,113,ENVIRONMENT;FOREIGN RELATIONS;INDIAN;PRINTING;RULES,,U000039,APPROPRIATIONS;COMMERCE;COMMISSION ON SECURITY;ENVIRONMENT;FOREIGN RELATIONS;INDIAN;PRINTING;RULES;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,
29924,112,COMMERCE;ENVIRONMENT;FOREIGN RELATIONS;INDIAN;PRINTING;RULES,,U000039,COMMERCE;COMMISSION ON SECURITY;ENVIRONMENT;FOREIGN RELATIONS;INDIAN;PRINTING;RULES;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,
29935,113,BANKING;BUDGET;ECONOMIC;FINANCE,,T000461,BANKING;BUDGET;COMMERCE;ECONOMIC;FINANCE,
29939,115,SPEAKER,,R000570,TAXATION,Chairman
29939,114,SPEAKER;TAXATION;WAYS,Chair,R000570,TAXATION;WAYS,Chair;Chairman
29940,115,APPROPRIATIONS;COMMERCE;HEALTH,,B001230,APPROPRIATIONS;BUDGET;COMMERCE;HEALTH;HOMELAND SECURITY,
29940,113,BUDGET;ENERGY;HEALTH;HOMELAND SECURITY,,B001230,AGING;BUDGET;ENERGY;HEALTH;HOMELAND SECURITY,
29943,112,ENERGY;HOUSE ADMINISTRATION;PRINTING,,G000544,ENERGY;HOUSE ADMINISTRATION,
31101,115,BUDGET;WAYS,,D000617,AGRICULTURE;BUDGET;JUDICIARY;WAYS,
31103,115,HOMELAND SECURITY;TRANSPORTATION,,P000604,HOMELAND SECURITY;SMALL BUSINESS;TRANSPORTATION,
39308,113,AGRICULTURE;JUDICIARY,Chair,G000289,AGRICULTURE;EDUCATION;JUDICIARY,Chair
40304,113,APPROPRIATIONS;ENERGY;HEALTH;RULES,Ranking Minority,A000360,APPROPRIATIONS;ENERGY;ENVIRONMENT;HEALTH;LIBRARY;PRINTING;RULES,Ranking Member
40305,115,FINANCE;INTELLIGENCE;JUDICIARY;MAJORITY WHIP,,C001056,FINANCE;INTELLIGENCE;JUDICIARY;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,
40305,114,FINANCE;JUDICIARY;MAJORITY WHIP,,C001056,FINANCE;JUDICIARY;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,
40305,113,FINANCE;JUDICIARY;MINORITY WHIP,,C001056,ARMED SERVICES;BUDGET;FINANCE;JUDICIARY;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,
40305,112,ARMED SERVICES;BUDGET;FINANCE;JUDICIARY,,C001056,ARMED SERVICES;BUDGET;FINANCE;JUDICIARY;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,
40700,115,AGRICULTURE;COMMERCE;ECONOMIC;JUDICIARY;RULES,Ranking Minority,K000367,AGRICULTURE;COMMERCE;ECONOMIC;JUDICIARY;LIBRARY;PRINTING;RULES,Ranking Member
40700,114,AGRICULTURE;COMMERCE;ECONOMIC;JUDICIARY;LIBRARY;PRINTING;RULES,Ranking Minority,K000367,AGRICULTURE;COMMERCE;ECONOMIC;JUDICIARY;RULES,
40701,115,ARMED SERVICES;FINANCE;HOMELAND SECURITY,Ranking Minority,M001170,AGING;ARMED SERVICES;COMMERCE;FINANCE;HOMELAND SECURITY,Ranking Member
40702,115,APPROPRIATIONS;BANKING;HOMELAND SECURITY;INDIAN;VETERANS,Ranking Minority,T000464,APPROPRIATIONS;BANKING;COMMERCE;HOMELAND SECURITY;INDIAN;VETERANS,Vice Chairman;Ranking Member
40702,113,BANKING;HOMELAND SECURITY;INDIAN;VETERANS,Chair,T000464,APPROPRIATIONS;BANKING;HOMELAND SECURITY;INDIAN;VETERANS,Chairman
40703,115,AGING;AGRICULTURE;FINANCE;HEALTH,Ranking Minority,C001070,AGING;AGRICULTURE;ECONOMIC;FINANCE;HEALTH,Ranking Member
40704,115,AGING;BUDGET;ENVIRONMENT;HEALTH;JUDICIARY,,W000802,AGING;BUDGET;COMMISSION ON SECURITY;ENVIRONMENT;FINANCE;HEALTH;JUDICIARY;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,
40704,114,AGING;BUDGET;ENVIRONMENT;HEALTH;JUDICIARY,,W000802,AGING;BUDGET;COMMISSION ON SECURITY;ENVIRONMENT;HEALTH;JUDICIARY;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,
40704,113,AGING;BUDGET;ENVIRONMENT;HEALTH;JUDICIARY,,W000802,AGING;BUDGET;COMMISSION ON SECURITY;ENVIRONMENT;HEALTH;JUDICIARY;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,
40704,112,AGING;BUDGET;ENVIRONMENT;HEALTH;JUDICIARY,,W000802,AGING;BUDGET;COMMISSION ON SECURITY;ENVIRONMENT;HEALTH;JUDICIARY;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,
40705,113,AGING;BANKING;FOREIGN RELATIONS,Ranking Minority,C001071,AGING;BANKING;ENERGY;FOREIGN RELATIONS,Ranking Member
40900,113,APPROPRIATIONS;COMMERCE;HOMELAND SECURITY;INDIAN;VETERANS,,B001265,APPROPRIATIONS;ARMED SERVICES;BUDGET;COMMERCE;HOMELAND SECURITY;INDIAN;VETERANS,
40902,115,ENERGY;ETHICS;FOREIGN RELATIONS;INTELLIGENCE;SMALL BUSINESS,Chair,R000584,ENERGY;ETHICS;FOREIGN RELATIONS;INTELLIGENCE;SMALL BUSINESS;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,Chairman
40902,114,ENERGY;ETHICS;FOREIGN RELATIONS;INTELLIGENCE;SMALL BUSINESS,,R000584,ENERGY;ETHICS;FOREIGN RELATIONS;INTELLIGENCE;SMALL BUSINESS;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,
40902,113,ENERGY;ETHICS;FOREIGN RELATIONS;INTELLIGENCE;SMALL BUSINESS,,R000584,ENERGY;ETHICS;FOREIGN RELATIONS;INTELLIGENCE;SMALL BUSINESS;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,Ranking Member
40902,112,ENERGY;ETHICS;FOREIGN RELATIONS;INTELLIGENCE;SMALL BUSINESS,,R000584,ENERGY;ETHICS;FOREIGN RELATIONS;INTELLIGENCE;SMALL BUSINESS;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,
40904,113,ENERGY;INDIAN;JUDICIARY,,F000457,ENERGY;HEALTH;INDIAN;JUDICIARY,
40905,113,AGRICULTURE;APPROPRIATIONS;BANKING;VETERANS,,J000291,AGRICULTURE;APPROPRIATIONS;BANKING;ENVIRONMENT;INDIAN;VETERANS,
40906,115,APPROPRIATIONS;ARMED SERVICES;ETHICS;FOREIGN RELATIONS;SMALL BUSINESS,Ranking Minority,S001181,APPROPRIATIONS;ARMED SERVICES;COMMISSION ON SECURITY;ETHICS;FOREIGN RELATIONS;SMALL BUSINESS,Ranking Member
40906,114,APPROPRIATIONS;ARMED SERVICES;FOREIGN RELATIONS;SMALL BUSINESS,Ranking Minority,S001181,APPROPRIATIONS;ARMED SERVICES;COMMISSION ON SECURITY;FOREIGN RELATIONS;SMALL BUSINESS,Ranking Member
40906,113,APPROPRIATIONS;ARMED SERVICES;FOREIGN RELATIONS;SMALL BUSINESS,,S001181,APPROPRIATIONS;ARMED SERVICES;COMMISSION ON SECURITY;ENERGY;FOREIGN RELATIONS;SMALL BUSINESS,
40906,112,ARMED SERVICES;ENERGY;FOREIGN RELATIONS;SMALL BUSINESS,,S001181,ARMED SERVICES;COMMISSION ON SECURITY;ENERGY;FOREIGN RELATIONS;SMALL BUSINESS,
40908,115,APPROPRIATIONS;BUDGET;ENVIRONMENT;FOREIGN RELATIONS,,M001176,APPROPRIATIONS;BANKING;BUDGET;ENVIRONMENT;FOREIGN RELATIONS,
40909,114,BANKING;BUDGET;FINANCE;INTELLIGENCE;RULES,,W000805,BANKING;BUDGET;FINANCE;INTELLIGENCE;PRINTING;RULES,
