chamber,congress,bioname,icpsr,state,bioguide_id,icpsr_missing
House,107,"STRICKLAND, Ted",29747,ohio,S001004,FALSE
House,107,"GOODE, Virgil H., Jr.",89767,virginia,G000280,FALSE
Senate,107,"CAMPBELL, Ben Nighthorse",95407,colorado,C000077,FALSE
Senate,107,"BARKLEY, Dean",40106,minnesota,B001237,FALSE
Senate,107,"JEFFORDS, James Merrill",94240,vermont,J000072,FALSE
House,106,"MARTÍNEZ, Matthew G.",94879,california,M000206,FALSE
House,106,"LIVINGSTON, Robert Linlithgow, Jr.",14469,louisiana,L000371,FALSE
House,106,"MENENDEZ, Robert",29373,new jersey,M000639,FALSE
House,106,"STRICKLAND, Ted",29747,ohio,S001004,FALSE
Senate,106,"CAMPBELL, Ben Nighthorse",95407,colorado,C000077,FALSE
Senate,106,"MILLER, Zell Bryan",49904,georgia,M001141,FALSE
